[2021-06-09T15:47:53.873] [INFO] default - |-----------------|
[2021-06-09T15:47:53.904] [INFO] default - |ExtraServer START|
[2021-06-09T15:47:53.906] [INFO] default - |-----------------|
[2021-06-09T15:47:53.907] [INFO] default - creating server...
[2021-06-09T15:47:53.908] [INFO] default - Loading plugins...
[2021-06-09T15:47:53.913] [ERROR] default - Cloud not load plugin asdasd.json: TypeError: require(...).onStart is not a function
[2021-06-09T15:47:54.126] [ERROR] default - Cloud not load plugin chat.js: TypeError [ERR_INVALID_ARG_TYPE]: The "emitter" argument must be an instance of EventEmitter. Received type string ('connection')
[2021-06-09T15:47:54.129] [INFO] defaultRequestHandler.js - DefaultRequestHandler was made by BomberPlayz.
[2021-06-09T15:47:54.130] [INFO] default - Loaded plugin defaultRequestHandler.js
[2021-06-09T15:47:54.132] [ERROR] default - Cloud not load plugin directoryList.js: TypeError: require(...).onStart is not a function
[2021-06-09T15:47:54.134] [INFO] logDebug.js - logDebug plugin by BomberPlayz!
[2021-06-09T15:47:54.134] [INFO] default - Loaded plugin logDebug.js
[2021-06-09T15:47:54.137] [ERROR] default - Cloud not load plugin tuccc.json: SyntaxError: D:\OneDrive\Desktop\progs\ExtraServer\server_plugins\tuccc.json: Unexpected number in JSON at position 57948
[2021-06-09T15:47:54.140] [INFO] _compatibleMode.js - CopatibleMode plugin was made by BomberPLayz
[2021-06-09T15:47:54.140] [INFO] default - Loaded plugin _compatibleMode.js
[2021-06-09T15:47:54.141] [INFO] default - Starting to listen...
[2021-06-09T15:47:54.144] [INFO] default - Server started!
[2021-06-09T15:47:54.154] [INFO] default - tictuc! elindult!
[2021-06-09T15:47:54.182] [INFO] defaultRequestHandler.js - ::1 requested to /tafonya.jsx?user=afonya
[2021-06-09T15:47:54.342] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:54.422] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:54.499] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:54.580] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:54.672] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:54.889] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:55.017] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:55.138] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:55.509] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:55.729] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:55.855] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.170] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.254] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.346] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.422] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.497] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.606] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.683] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.760] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.853] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:56.934] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.015] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.097] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.180] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.265] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.342] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.418] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.500] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.631] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:57.803] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:58.138] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:58.401] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:58.521] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:58.758] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:58.951] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:59.089] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:59.184] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:59.301] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:47:59.604] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
