[2021-06-09T20:42:55.198] [INFO] default - |-----------------|
[2021-06-09T20:42:55.205] [INFO] default - |ExtraServer START|
[2021-06-09T20:42:55.206] [INFO] default - |-----------------|
[2021-06-09T20:42:55.211] [INFO] default - creating server...
[2021-06-09T20:42:55.214] [INFO] default - Loading plugins...
[2021-06-09T20:42:55.233] [ERROR] default - Cloud not load plugin asdasd.json: TypeError: require(...).onStart is not a function
[2021-06-09T20:42:55.373] [ERROR] default - Cloud not load plugin chat.js: TypeError [ERR_INVALID_ARG_TYPE]: The "emitter" argument must be an instance of EventEmitter. Received type string ('connection')
[2021-06-09T20:42:55.375] [INFO] defaultRequestHandler.js - DefaultRequestHandler was made by BomberPlayz.
[2021-06-09T20:42:55.375] [INFO] default - Loaded plugin defaultRequestHandler.js
[2021-06-09T20:42:55.376] [ERROR] default - Cloud not load plugin directoryList.js: TypeError: require(...).onStart is not a function
[2021-06-09T20:42:55.378] [INFO] logDebug.js - logDebug plugin by BomberPlayz!
[2021-06-09T20:42:55.378] [INFO] default - Loaded plugin logDebug.js
[2021-06-09T20:42:55.380] [ERROR] default - Cloud not load plugin tuccc.json: SyntaxError: D:\OneDrive\Desktop\progs\ExtraServer\server_plugins\tuccc.json: Unexpected number in JSON at position 57948
[2021-06-09T20:42:55.381] [INFO] _compatibleMode.js - CopatibleMode plugin was made by BomberPLayz
[2021-06-09T20:42:55.381] [INFO] default - Loaded plugin _compatibleMode.js
[2021-06-09T20:42:55.382] [INFO] default - Starting to listen...
[2021-06-09T20:42:55.384] [INFO] default - Server started!
[2021-06-09T20:42:55.385] [INFO] default - tictuc! elindult!
[2021-06-09T20:45:10.469] [INFO] defaultRequestHandler.js - ::1 requested to /dos.jsx?ip=http://win.crackpixel.hu:1028/papi?usr=asd&token=7562&mode=createServer&data=HI4352&name=asdasd&hi=HI4352&plan=Free&req=1000
[2021-06-09T20:45:10.503] [DEBUG] logDebug.js - http://win.crackpixel.hu:1028/papi?usr=asd
[2021-06-09T20:45:10.809] [INFO] defaultRequestHandler.js - ::1 requested to /favicon.ico
[2021-06-09T20:45:10.817] [WARN] defaultRequestHandler.js - Requested file not found: /favicon.ico
[2021-06-09T20:45:10.886] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.216] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.294] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.298] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.535] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.571] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.574] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
[2021-06-09T20:45:11.592] [DEBUG] logDebug.js - DONE 1 REQ got data: err_auth_failed
