[2021-06-09T15:49:08.049] [INFO] default - |-----------------|
[2021-06-09T15:49:08.060] [INFO] default - |ExtraServer START|
[2021-06-09T15:49:08.060] [INFO] default - |-----------------|
[2021-06-09T15:49:08.062] [INFO] default - creating server...
[2021-06-09T15:49:08.063] [INFO] default - Loading plugins...
[2021-06-09T15:49:08.068] [ERROR] default - Cloud not load plugin asdasd.json: TypeError: require(...).onStart is not a function
[2021-06-09T15:49:08.492] [ERROR] default - Cloud not load plugin chat.js: TypeError [ERR_INVALID_ARG_TYPE]: The "emitter" argument must be an instance of EventEmitter. Received type string ('connection')
[2021-06-09T15:49:08.495] [INFO] defaultRequestHandler.js - DefaultRequestHandler was made by BomberPlayz.
[2021-06-09T15:49:08.496] [INFO] default - Loaded plugin defaultRequestHandler.js
[2021-06-09T15:49:08.501] [ERROR] default - Cloud not load plugin directoryList.js: TypeError: require(...).onStart is not a function
[2021-06-09T15:49:08.503] [INFO] logDebug.js - logDebug plugin by BomberPlayz!
[2021-06-09T15:49:08.503] [INFO] default - Loaded plugin logDebug.js
[2021-06-09T15:49:08.505] [ERROR] default - Cloud not load plugin tuccc.json: SyntaxError: D:\OneDrive\Desktop\progs\ExtraServer\server_plugins\tuccc.json: Unexpected number in JSON at position 57948
[2021-06-09T15:49:08.508] [INFO] _compatibleMode.js - CopatibleMode plugin was made by BomberPLayz
[2021-06-09T15:49:08.509] [INFO] default - Loaded plugin _compatibleMode.js
[2021-06-09T15:49:08.509] [INFO] default - Starting to listen...
[2021-06-09T15:49:08.514] [INFO] default - Server started!
[2021-06-09T15:49:08.515] [INFO] default - tictuc! elindult!
[2021-06-09T15:49:11.699] [INFO] defaultRequestHandler.js - ::1 requested to /tafonya.jsx?user=afonya
[2021-06-09T15:49:11.902] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:11.994] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.113] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.222] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.301] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.390] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.471] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.549] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.629] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.753] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:12.897] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.002] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.115] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.227] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.316] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.399] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.504] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.598] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.694] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.812] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:13.908] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.075] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.248] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.386] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.491] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.571] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.662] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.790] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:14.945] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.053] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.162] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.251] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.360] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.449] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.558] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.637] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.717] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.795] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.873] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:15.961] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:16.042] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:16.120] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:16.200] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:16.275] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:49:16.357] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
